G4ZVJ,Andy
G5AZI,Pete
G5BTU,Frank
G5DPG,Pete
G5LP,Lionel
G5VZ,Chris
G6AY,Jim
G6MC,Andy
G6VX,Derek
GB2SPY,Ian
G0BQV,Mary
GD3NKC,David
G0EFO,Mike
G0GKH,Dave
G0HFL,Nick
GI3PDN,Ray
G0IBN,Andy
G0KPE,Carl
GM3POI,Clive
GM3WUX,Terry
GM3X,Clive
GM3YOR,Drew
GM3YTS,Rob
GM4AFU,Paul
GM4EVS,David
GM4KGK,Norman
GM4ZUK,Allan
G0MFR,Gareth
GM0GAV,Gavin
GM0HKS,Will
G0NAN,Josh
G0OPB,Tony
G0PNM,Pete
GU4CHY,Dick
GU4YOX,Bob
G0VQW,Sandy
GW3KGV,Ken
GW4MM,Tim
GW4OKT,Keith
GW4VXE,Tim
GW8DX,Jack
H40D,Cezar
H44MA,Allan
HA4FY,Janos
HA4XG,Geza
HA5BA,Klara
HA5MM,Emma
HA6NL,Laszlo
HA6OD,Joska
HA8DD,Berenyi
HA8TI,Janos
HA9RT,Joska
HA0IS,Gyula
HA0LZ,Miklos
HA0ML,Istvan
HB9AFZ,Francesco
HB9CEX,Peter
HB9DDZ,Nick
HB9QO,Bruno
HG0HQ,Hungarian
HL9DC,Del
I2CZQ,Peter
I5EFO,Emil
I7ALE,Sandro
I0ALE,Sandro
IK1GPG,Massimo
IK1ZOB,Sauro
IK2SGV,Paolo
IK3HMB,Giorgio
IK3SVT,Antonio
IK4EWX,Ian
IK4IDF,Raffaele
IK4IDP,Andrea
IK5VLL,Andy
I0KHY,Claudio
IK0IXI,Fabio
IK0YGJ,Carlo
IK0YVV,Marco
IN3FHE,Helga
IN3NJB,Roberto
IR7A,Sandro
IS0AFM,Simone
IT9IFI,Sergio
IU5PTB,Paolo
IU0HMB,Vlado
IV3FPX,Boris
IW2BNA,Walter
IW2NXI,Graziano
IZ2BHQ,Giorgio
IZ2FME,Michele
IZ2JAB,Ste
IZ7GEG,Luca
J5X,Baldur
J20DA,Baldur
J20TW,Tom
J88DR,Dave
J88XF,Nigel
JA1GZV,Motoaki
JA1KIH,Takao
JA5DQH,Aki
JH1GNU,Shige
JS2AHG,Atsu
JS6UKY,Motoaki
JT4RR,Mats
JW3FL,Per
JW5HE,Rag
JW9SN,Harald
JX9SN,Harald
K1AJ,Bruce
K1AR,John
K1BG,Bruce
K1DG,Doug
K1DW,Dallas
K1ESE,John
K1FOC,Gary
K1GUP,Jerry
K1JD,John
K1NVY,Fred
K1SA,Bernie
K1ZM,Jeff
K1ZZ,Dave
K2KRG,Steve
K2LE,Andy
K2MGR,Kurt
K2NV,Tony
K2RSK,Peter
K2SG,Tony
K2SX,Dennis
K2TT,Bill
K2UFT,Dick
K2UV,Warren
K2YWE,Dan
K2ZR,Dick
K3AU,Dan
K3LR,Tim
K3LU,Ulis
K3MD,John
K3NA,Eric
K3PA,Drew
K3TF,Tom
K3TW,Tom
K3UL,Robert
K3WW,Chas
K4AEN,Tom
K4BAI,John
K4BSK,Earl
K4EWG,Pete
K4JJW,Dick
K4OSO,Milt
K4QS,Chuck
K4UX,Al
K4WJ,John
K4XU,Dick
K5AX,Tom
K5DU,Susan
K5EX,Ben
K5FP,Fred
K5KG,George
K5KV,Benny
K5LN,Bill
K5LY,Lee
K5OT,Larry
K5RC,Tom
K5RUO,Ken
K5TF,Dick
K5UBL,Curt
K5VR,Stan
K5VWW,Orville
K5WK,Ken
K5XK,Ron
K6AR,Jim
K6BWP,Fred
K6KI,Jorma
K6KII,Cliff
K6NA,Glen
K6RB,Rob
K6WG,Stan
K6XG,Dave
K6ZB,Bruce
K7HP,Hank
K7NJ,Riki
K7RC,Tom
K7SV,Larry
K7UOT,Tom
K8JPM,Bob
K8MFO,Don
K8ZH,Rick
K9DX,John
K9FN,Dave
K9UIY,Vic
K9VKY,Brian
K9WA,Jim
KB1Q,Rune
KC4YDP,Jerry
KC6MF,Mike
KC7V,Mike
KC0VKN,Joe
KF2AT,Percy
KF3B,Alan
KF7E,Jim
KF7WX,Chris
KG4ZK,Don
KH6FOC,Aki
KH6LC,Lloyd
KH7A,Aki
KJ9I,Dave
KM4FOC,Robert
KN0V,Gary
KO8SCA,Adrian
KP3W,Jose
KP4DX,Luis
KP4P,Tele
K0PFX,Mel
KR2FOC,Rich
KR2Q,Doug
KR3E,Ed
KT4E,Amy
KT5J,Larry
KT5X,Fred
KU8E,Jeff
KV1I,Imi
K0VBU,Bill
K0VXU,Russ
KW7Q,Steve
KW9N,Pat
KY4GS,Amanda
KY7M,Lee
KZ5D,Art
LA3FL,Per
LA4XX,Hal
LA5HE,Rag
LA7GIA,Kenneth
LA9SN,Harald
LB2TB,Lars
LD9SN,Harald
LI9SN,Harald
LU4AA,Motoaki
LU5OM,Manuel
LU6EF,Raul
LY2BNL,Val
LY2PX,Willy
LY5A,Jonas
LY6A,Rimas
LZ1GH,George
LZ1MS,Rumen
LZ2RS,Rumi
LZ3SM,Sveto
M2G,John
M3X,Harry
M4N,Mike
M5S,John
M7KTZ,Enzo
MD2C,Bob
MD0CCE,Bob
M0DXR,Mark
M0HVM,Joe
M0IHT,Harry
M0IPX,Andy
M0KTZ,Enzo
MM0DGI,Steven
MM0FME,Michele
MM0MWW,Clive
M0MZB,Matthew
M0P,Peter
M0PCB,Iain
M0RYB,Peter
M0TTJ,Dave
M0TTN,Slavek
N1LI,Doug
N1TO,Ed
N2ATB,Tony
N2BB,Bob
N2FME,Michele
N2KW,Allen
N2NA,Ric
N2NL,David
N2NT,Andy
N2UU,Bob
N2WCQ,Yuri
N3AM,John
N3AN,Sandro
N3BB,Jim
N3JT,Jim
N3KS,Kam
N3RD,Dave
N3RS,Sig
N3WT,John
N4AF,Howie
N4CJ,Chris
N4FOC,Mark
N4FP,Wayne
N4JEH,Jenna
N4LSJ,Tom
N4TY,Tyler
N4UB,Don
N4WJ,Frank
N5AN,Bud
N5AW,Marv
N5BC,Felix
N5CW,Curt
N5FOC,John
N5KD,Pete
N5RZ,Gator
N5TJ,Jeff
N5TOO,Van
N5TP,Pete
N5XE,Carl
N5XZ,Allen
N6FOC,Bob
N6NT,Bruce
N6SW,Ken
N6TT,Steven
N6XI,Rick
N7XU,Dick
N8AA,John
N8FOC,Goose
N8NA,Karl
N9RD,Juergen
N9RV,Pat
NA2U,Fred
NA5G,Ed
NA6M,Mark
N0AV,Jim
ND4AA,Norm
ND9M,Jim
NG4Z,Dick
NI4E,Eric
NK1G,Don
NL7G,Joe
NM5M,Eric
NN3L,Sig
NO5W,Chuck
NR4A,Sam
NV7A,Tom
NW6H,Rob
NW6V,Chris
NW9Y,Rumen
NY2PO,Pat
NY4A,Howie
NZ6K,Rob
OA4DX,Tony
OA4MS,Owen
OE1TKW,Helmut
OE5TXF,Nigel
OH1MM,Pasi
OH1RX,Jouko
OH2BDP,Hans
OH2BH,Martti
OH2EA,Hans
OH2KI,Jorma
OH3RM,Markus
OH3XZ,Jorma
OH4X,Jyrki
OH6RP,Risto
OH8MJ,Jouko
OH0B,Martti
OH0J,Jouko
OK1CF,Karel
OK1CZ,Petr
OK1DLA,Ludek
OK1ES,Josef
OK1FHD,Josef
OK1FHI,Radek
OK1FMJ,Josef
OK1FMX,Milan
OK1FWG,Willi
OK1HCG,Karel
OK1IF,Milan
OK1ITK,Petr
OK1JAX,Pavel
OK1KT,Vrata
OK1LV,Lada
OK1MLP,Karel
OK1NG,Jaromir
OK1NU,Jan
OK1RP,Petr
OK1RR,Martin
OK1RZ,Rostislav
OK1TD,Jiri
OK1TN,Slavek
OK1TRJ,Michal
OK1VEI,Pavel
OK1WCF,Martin
OK1YR,Karel
OK2APY,Alena
OK2BFY,Josef
OK2BLD,Ladislav
OK2BMI,Milan
OK2CQR,Petr
OK2HBY,Kamil
OK2HIJ,Jirka
OK2KR,Stanislav
OK2LA,Jindra
OK2NAJ,Jiri
OK2OP,Jirka
OK2PAY,Lada
OK2PYA,Robert
OK2QA,Rudolf
OK2SFP,Jarda
OK2VWB,Wieslaw
OK4IT,Richard
OK5OK,Jiri
OK5W,Karel
OK7FOC,Slavek
OK7WA,Franta
OK7WW,Zdenek
OK8AFT,Colin
OK8BJT,Jim
OK8YM,Fred
OL4W,Milan
OL75CAV,Martin
OL0A,Petr
OM1AX,Vlado
OM2JU,Jan
OM2VL,Laci
OM3YCA,Alex
OM5CM,Palo
OM5DP,Martin
OM5TX,Jozef
OM7OM,Milan
ON4BB,Luk
ON4EM,Manu
ON4ON,Danny
ON4RU,Mar
ON4VT,Danny
ON5JT,Jean
ON7GR,Guido
ON7PQ,Pat
OQ3R,Mar
OV2QRP,Kim
OX3XR,Peter
OY1CT,Caen
OZ1LO,Leif
OZ2A,Kim
OZ4BF,Ben
OZ4UN,Paul
OZ5DX,Hans
OZ6XT,Peter
OZ8CW,Jalmar
OZ8RO,Rag
OZ8SW,Steen
OZ8X,Harald
OZ9VO,Palle
P3F,Bob
P29CW,Allan
P40LE,Andy
PA3CVV,Miles
PA4N,Frank
PA5V,Bob
PA5XM,Kees
PA7RA,Rien
